grad-year,hometown,latitude,longitude,college
1933,"Lancaster, PA",40.038045,-76.301269,Westhampton
1933,"Lansdowne, PA",39.938385,-75.271489,Richmond
1933,"Lebanon, NJ",40.64085,-74.837514,Westhampton
1933,"Leominster, MA",42.52642,-71.759614,Richmond
1933,"Levittown, NY",40.725952,-73.512739,Richmond
1933,"Lexington, KY",38.048595,-84.500319,Richmond
1933,"Lexington, KY",38.048595,-84.500319,Richmond
1933,"Lexington, KY",38.048595,-84.500319,Westhampton
1933,"Lititz, PA",40.1575,-76.307357,Westhampton
1933,"Lititz, PA",40.1575,-76.307357,Westhampton
1933,"Little Silver, NJ",40.339859,-74.042885,Richmond
1933,"Livingston, NJ",40.795495,-74.317414,Westhampton
1933,"Locust Valley, NY",38.305303,-77.808632,Richmond
1933,"London, OH",39.885964,-83.44813,Westhampton
1933,"Long Valley, NJ",40.783365,-74.768069,Westhampton
1933,"Lookout Mountain, GA",34.97633,-85.356665,Westhampton
1933,"Lorton, VA",38.70428,-77.206854,Richmond
1933,"Louisa, VA",38.025463,-78.003752,Westhampton
1933,"Louisville, KY",38.25486,-85.766404,Westhampton
1933,"Louisville, KY",38.25486,-85.766404,Richmond
1933,"Louisville, KY",38.25486,-85.766404,Richmond
1933,"Lynchburg, VA",37.41402,-79.142839,Westhampton
1933,"Madison, CT",41.27969,-72.594194,Richmond
1933,"Madison, NJ",40.757122,-74.416014,Richmond
1933,"Madison, WI",43.07295,-89.386694,Westhampton
1933,"Malvern, PA",40.036923,-75.510446,Westhampton
1933,"Manalapan, NJ",40.306221,-74.375473,Richmond
1933,"Manassas, VA",38.751195,-77.471119,Westhampton
1933,"Manassas, VA",38.751195,-77.471119,Westhampton
1933,"Manhasset, NY",40.797895,-73.698759,Richmond
1933,"Manhasset, NY",40.797895,-73.698759,Westhampton
1933,"Manheim, PA",40.16459,-76.395999,Westhampton
1933,"Manlius, NY",43.001887,-75.979914,Richmond
1933,"Marblehead, MA",42.497339,-70.861435,Westhampton
1933,"Marblehead, MA",42.497339,-70.861435,Westhampton
1933,"Marietta, OH",39.423096,-81.460334,Westhampton
1933,"Marriottsville, MD",39.350956,-76.899067,Richmond
1933,"McLean, VA",38.936529,-77.184285,Richmond
1933,"Mechanicsville, VA",37.612655,-77.378419,Richmond
1933,"Mechanicsville, VA",37.612655,-77.378419,Westhampton
1933,"Mechanicsville, VA",37.612655,-77.378419,Richmond
1933,"Medford, NJ",39.886453,-74.821314,Westhampton
1933,"Melbourne, FL",28.07939,-80.606884,Richmond
1933,"Memphis, TN",35.149766,-90.049259,Richmond
1933,"Memphis, TN",35.149766,-90.049259,Westhampton
1933,"Mendham, NJ",40.775579,-74.602168,Westhampton
1933,"Middletown, NJ",40.404735,-74.126869,Richmond
1933,"Middletown, NJ",40.404735,-74.126869,Richmond
1933,"Midlothian, VA",37.50359,-77.651274,Westhampton
1933,"Midlothian, VA",37.50359,-77.651274,Richmond
1933,"Midlothian, VA",37.50359,-77.651274,Richmond
1933,"Midlothian, VA",37.50359,-77.651274,Richmond
1933,"Midlothian, VA",37.50359,-77.651274,Westhampton
1933,"Midlothian, VA",37.50359,-77.651274,Westhampton
1933,"Milford, NH",42.835499,-71.648438,Richmond
1933,"Milwaukee, WI",43.04181,-87.906844,Richmond
1933,"Monroe Township, NJ",39.667434,-74.971576,Westhampton
1933,"Monroe, CT",41.334161,-73.206135,Richmond
1933,"Montoursville, PA",41.2499,-76.921839,Richmond
1933,"Montross, VA",38.094847,-76.819903,Westhampton
1933,"Moorestown, NJ",39.96687,-74.943034,Richmond
1933,"Morgantown, WV",39.630375,-79.957849,Westhampton
1933,"Morganville, NJ",40.372405,-74.245959,Richmond
1933,"Morris Plains, NJ",40.82624,-74.479954,Westhampton
1933,"Morristown, NJ",40.793011,-74.477132,Westhampton
1933,"Mount Vernon, NY",40.912456,-73.838276,Westhampton
1933,"Mountainside, NJ",40.672461,-74.355367,Richmond
1933,"Mountainside, NJ",40.672461,-74.355367,Westhampton
1933,"Mt. Crawford, VA",38.355273,-78.943246,Westhampton
1933,"Mt. Kisco, NY",41.206336,-73.726839,Westhampton
1933,"Mullica Hill, NJ",39.738835,-75.224773,Westhampton
1933,"Muttontown, NY",40.832454,-73.52781,Westhampton
1933,"Napierville, IL",41.770535,-88.153019,Richmond
1933,"Naples, FL",26.139094,-81.795793,Richmond
1933,"Naples, FL",26.139094,-81.795793,Richmond
1933,"Nashville, TN",36.167783,-86.778365,Richmond
1933,"Nashville, TN",36.167783,-86.778365,Richmond
1933,"Nashville, TN",36.167783,-86.778365,Richmond
1933,"Nashville, TN",36.167783,-86.778365,Richmond
1933,"Nashville, TN",36.167783,-86.778365,Westhampton
1933,"Nashville, TN",36.167783,-86.778365,Richmond
1933,"New Canaan, CT",41.148153,-73.492953,Westhampton
1933,"New Canaan, CT",41.148153,-73.492953,Westhampton
1933,"New Canaan, CT",41.148153,-73.492953,Richmond
1933,"New Canaan, CT",41.148153,-73.492953,Westhampton
1933,"New Canaan, CT",41.148153,-73.492953,Richmond
1933,"New Hope, PA",40.365835,-74.951964,Westhampton
1933,"New Hyde Park, NY",40.733541,-73.680648,Richmond
1933,"New Orleans, LA",29.9537,-90.077749,Westhampton
1933,"New Orleans, LA",29.9537,-90.077749,Richmond
1933,"New Orleans, LA",29.9537,-90.077749,Westhampton
1933,"New Orleans, LA",29.9537,-90.077749,Richmond
1933,"New Orleans, LA",29.9537,-90.077749,Westhampton
1933,"New York, NY",40.71455,-74.007124,Richmond
1933,"New York, NY",40.71455,-74.007124,Richmond
1933,"Newark, DE",39.678015,-75.761814,Westhampton
1933,"Newark, DE",39.678015,-75.761814,Westhampton
1933,"Newark, DE",39.678015,-75.761814,Westhampton
1933,"Newport News, VA",37.082885,-76.480229,Westhampton
1933,"Newport News, VA",37.082885,-76.480229,Westhampton
1933,"Newport News, VA",37.082885,-76.480229,Richmond
1933,"Newport News, VA",37.082885,-76.480229,Westhampton
1933,"Newton Corner, MA",42.36084,-71.19577,Richmond
1933,"Newtown Square, PA",39.987756,-75.400159,Richmond
1933,"Newtown, CT",41.411884,-73.307669,Richmond
1933,"Nokesville, VA",38.698355,-77.579304,Richmond
1933,"Norfolk, MA",42.119416,-71.330833,Westhampton
1933,"Norfolk, VA",36.846825,-76.285069,Westhampton
1933,"North Brunswick, NJ",40.4678,-74.471899,Westhampton
1933,"North Grafton, MA",42.234426,-71.706631,Richmond
1933,"North Granby, CT",42.000795,-72.833595,Richmond
1933,"North Miami, FL",25.890425,-80.182709,Westhampton
1933,"North Salem, NY",41.330928,-73.589278,Richmond
1933,"North Wales, PA",40.212875,-75.278819,Westhampton
1933,"Norton, VA",36.935875,-82.623514,Richmond
1933,"Norwalk, CT",41.11366,-73.407654,Westhampton
1933,"Norwich, CT",41.526564,-72.075709,Westhampton
1933,"Oak Brook, IL",41.83248,-87.945904,Westhampton
1933,"Oakhurst, NJ",40.27149,-74.015989,Richmond
